Time,PosX,PosY,PosZ,VelX,VelY,VelZ,Speed,SteeringAngle,Acceleration,PathDeviation,Phase,CheckpointID
0.100,-0.400,0.620,230.930,-0.001,-0.621,0.018,0.621,0.000,6.382,2.269,driving,-1
0.220,-0.400,0.594,230.929,-0.001,-0.004,0.005,0.006,0.000,3.079,2.269,driving,-1
0.340,-0.400,0.603,230.929,0.000,0.081,-0.003,0.081,0.000,0.375,2.269,driving,-1
0.460,-0.400,0.608,230.929,0.000,0.013,-0.002,0.013,0.000,0.457,2.269,driving,-1
0.580,-0.400,0.607,230.929,0.000,-0.008,0.000,0.009,0.000,0.025,2.269,driving,-1
0.700,-0.400,0.607,230.929,0.000,-0.003,0.000,0.003,0.000,0.054,2.269,driving,-1
0.820,-0.400,0.607,230.929,0.000,0.001,0.000,0.001,0.000,0.013,2.269,driving,-1
0.940,-0.400,0.607,230.929,0.000,0.001,0.000,0.001,0.000,0.005,2.269,driving,-1
1.060,-0.400,0.607,230.929,0.000,0.000,0.000,0.000,0.000,0.011,2.269,driving,-1
1.180,-0.400,0.607,230.929,0.000,0.000,0.000,0.000,0.000,0.001,2.269,driving,-1
1.300,-0.400,0.607,230.929,0.000,0.000,0.000,0.000,0.000,0.001,2.269,driving,-1
1.420,-0.400,0.607,230.929,0.000,0.000,0.000,0.000,0.000,0.001,2.269,driving,-1
1.540,-0.400,0.607,230.929,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
1.660,-0.400,0.607,230.929,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
1.780,-0.400,0.607,230.929,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
1.900,-0.400,0.607,230.929,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
2.020,-0.400,0.607,230.929,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
2.140,-0.400,0.607,230.929,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
2.260,-0.400,0.607,230.929,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
2.380,-0.400,0.607,230.929,0.000,0.000,0.000,0.000,0.000,0.001,2.269,driving,-1
2.500,-0.400,0.607,230.929,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
2.620,-0.400,0.607,230.929,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
2.740,-0.400,0.607,230.929,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
2.860,-0.400,0.607,230.929,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
2.980,-0.400,0.607,230.929,0.000,0.000,0.000,0.000,0.000,0.000,2.269,driving,-1
3.100,-0.400,0.607,231.030,0.000,0.000,1.749,1.749,0.000,16.187,2.251,driving,-1
3.220,-0.400,0.607,231.372,-0.001,0.000,3.616,3.616,0.000,15.084,2.221,driving,-1
3.340,-0.400,0.608,231.929,-0.001,0.024,5.400,5.400,0.000,18.821,2.285,driving,-1
3.460,-0.401,0.608,232.679,-0.001,-0.007,6.888,6.888,0.000,11.674,2.566,driving,-1
3.580,-0.401,0.608,233.604,-0.001,-0.002,8.259,8.259,0.000,9.630,3.133,driving,-1
3.700,-0.401,0.608,234.682,-0.002,0.001,9.447,9.447,0.000,6.520,3.968,driving,-1
3.820,-0.401,0.608,235.895,-0.002,0.000,10.482,10.482,0.000,3.778,5.019,driving,-1
3.940,-0.401,0.608,237.222,-0.002,0.000,11.391,11.391,0.000,3.864,4.729,driving,-1
4.060,-0.402,0.608,238.647,-0.002,0.000,12.169,12.169,0.000,4.934,3.536,driving,-1
4.180,-0.402,0.608,240.096,-0.002,0.000,11.660,11.660,0.000,9.381,2.577,driving,-1
4.300,-0.402,0.608,241.368,-0.002,0.000,9.271,9.271,0.000,31.750,2.226,driving,-1
4.420,-0.402,0.608,242.192,-0.002,0.000,5.113,5.113,0.000,32.705,2.365,driving,-1
4.540,-0.402,0.606,242.475,-0.001,-0.001,0.429,0.429,0.000,38.713,2.475,driving,-1
4.660,-0.402,0.607,242.392,0.000,0.004,-1.037,1.037,0.000,6.834,2.440,driving,-1
4.780,-0.402,0.607,242.212,0.000,0.000,-1.831,1.831,0.000,6.447,2.372,driving,-1
4.900,-0.403,0.607,241.939,-0.001,0.000,-2.575,2.575,0.000,6.032,2.292,driving,-1
5.020,-0.403,0.607,241.581,-0.001,0.000,-3.269,3.269,0.000,5.601,2.235,driving,-1
5.140,-0.403,0.607,241.144,-0.001,0.000,-3.911,3.911,0.000,5.164,2.241,driving,-1
5.260,-0.403,0.607,240.633,-0.001,0.000,-4.500,4.500,0.000,4.733,2.354,driving,-1
5.380,-0.403,0.608,240.055,-0.001,0.036,-5.024,5.025,0.000,4.039,2.599,driving,-1
5.500,-0.403,0.608,239.414,-0.001,-0.006,-5.531,5.531,0.000,4.572,2.980,driving,-1
5.620,-0.403,0.608,238.718,-0.001,-0.003,-5.917,5.917,0.000,3.853,3.482,driving,-1
5.740,-0.403,0.608,237.973,-0.001,0.000,-6.324,6.324,0.000,1.046,4.083,driving,-1
5.860,-0.403,0.608,237.182,-0.001,0.000,-6.669,6.669,0.000,3.039,4.765,driving,-1
5.980,-0.404,0.608,236.352,-0.001,0.000,-7.002,7.002,0.000,2.259,5.434,driving,-1
6.100,-0.404,0.608,235.487,-0.001,0.000,-7.272,7.272,0.000,2.901,4.658,driving,-1
6.220,-0.404,0.608,234.591,-0.002,0.000,-7.519,7.519,0.000,3.016,3.894,driving,-1
6.340,-0.404,0.608,233.667,-0.002,0.000,-7.736,7.736,0.000,3.194,3.181,driving,-1
6.460,-0.405,0.608,232.719,-0.002,0.000,-7.928,7.928,0.000,3.301,2.590,driving,-1
6.580,-0.405,0.608,231.786,-0.002,0.000,-7.369,7.369,0.000,12.569,2.260,driving,-1
6.700,-0.405,0.608,230.958,-0.002,0.000,-6.497,6.497,0.000,12.211,2.269,driving,-1
6.820,-0.406,0.608,230.241,-0.002,0.000,-5.137,5.137,0.000,37.775,2.507,driving,-1
6.940,-0.406,0.606,229.922,-0.001,-0.001,-0.773,0.773,0.000,38.438,2.669,driving,-1
7.060,-0.406,0.607,230.013,0.000,0.004,0.786,0.786,0.000,5.133,2.620,driving,-1
7.180,-0.406,0.607,230.065,0.000,0.001,0.186,0.186,0.000,4.908,2.593,driving,-1
7.300,-0.406,0.607,230.067,0.000,0.000,0.000,0.000,0.000,0.004,2.592,driving,-1
7.420,-0.406,0.607,230.067,0.000,0.000,0.000,0.000,0.000,0.002,2.592,driving,-1
7.540,-0.406,0.607,229.963,-0.001,0.000,-1.312,1.312,0.000,6.706,2.647,driving,-1
7.660,-0.406,0.607,229.849,-0.001,0.000,-0.689,0.689,0.000,5.097,2.711,driving,-1
