Metric,Value
Agent Type,DRL_Agent
Completion Time (s),0.530
Collision Count,0
Distance Traveled (m),0.095
Average Speed (m/s),0.20952
Maximum Speed (m/s),0.62780
Minimum Speed (m/s),0.02743
Speed Standard Deviation,0.281731
Speed Consistency,-0.3446489
Average Steering Angle (deg),45.0000000
Maximum Steering Angle (deg),45.00000
Steering Smoothness,0.7500000
Average Acceleration (m/s²),1.2457
Maximum Acceleration (m/s²),3.519
Average Path Deviation (m),1.878
Maximum Path Deviation (m),1.878
