Metric,Value
Agent Type,DRL_Agent
Completion Time (s),68.769
Collision Count,0
Distance Traveled (m),911.769
Average Speed (m/s),13.42743
Maximum Speed (m/s),15.04860
Minimum Speed (m/s),1.42148
Speed Standard Deviation,2.215001
Speed Consistency,0.8350391
Average Steering Angle (deg),14.5288000
Maximum Steering Angle (deg),45.00000
Steering Smoothness,0.9192845
Average Acceleration (m/s²),17.1619
Maximum Acceleration (m/s²),382.258
Average Path Deviation (m),5.155
Maximum Path Deviation (m),15.724

Lap Data
Lap,StartTime,EndTime,LapTime,AvgSpeed,MaxSpeed,MinSpeed,AvgSteering,MaxSteering,AvgAccel,MaxAccel,PathDeviation,Collisions,Efficiency
1,0.000,44.340,44.340,13.484,15.000,1.421,14.634,45.000,15.908,382.258,1936.482,0,-2.283

Checkpoint Data
CheckpointID,SegmentName,IsStart,IsEnd,SegmentTime,Timestamp,Speed
1,Checkpoint_1,False,False,0.000,3.680,14.885
2,Checkpoint_2,False,False,0.000,7.240,14.366
3,Checkpoint_3,False,False,0.000,8.760,14.458
4,Checkpoint_4,False,False,0.000,10.700,14.881
5,Checkpoint_5,False,False,0.000,11.620,13.447
6,Checkpoint_6,False,False,0.000,15.120,8.501
7,Checkpoint_7,False,False,0.000,16.080,14.097
8,Checkpoint_8,False,False,0.000,17.100,14.681
9,Checkpoint_9,False,False,0.000,18.400,14.886
10,Checkpoint_10,False,False,0.000,20.280,11.580
11,Checkpoint_11,False,False,0.000,21.120,12.503
12,Checkpoint_12,False,False,0.000,21.820,14.934
13,Checkpoint_13,False,False,0.000,22.540,14.876
14,Checkpoint_14,False,False,0.000,23.860,9.093
15,Checkpoint_15,False,False,0.000,25.460,14.613
16,Checkpoint_16,False,False,0.000,26.720,14.875
17,Checkpoint_17,False,False,0.000,28.240,14.886
18,Checkpoint_18,False,False,0.000,29.500,14.876
19,Checkpoint_19,False,False,0.000,30.960,14.880
20,Checkpoint_20,False,False,0.000,32.340,14.865
21,Checkpoint_21,False,False,0.000,33.660,12.254
22,Checkpoint_22,False,False,0.000,35.920,11.846
23,Checkpoint_23,False,False,0.000,37.240,14.869
24,Checkpoint_24,False,False,0.000,38.360,14.784
25,Checkpoint_25,False,False,0.000,39.660,12.149
26,Checkpoint_26,False,False,0.000,41.340,14.041
27,Checkpoint_27,False,False,0.000,42.240,14.790
0,Checkpoint_0,True,True,0.000,44.340,14.886
1,Checkpoint_1,False,False,0.000,47.120,14.893
2,Checkpoint_2,False,False,0.000,50.760,14.410
3,Checkpoint_3,False,False,0.000,52.220,14.885
4,Checkpoint_4,False,False,0.000,54.180,14.871
5,Checkpoint_5,False,False,0.000,55.120,12.952
6,Checkpoint_6,False,False,0.000,58.780,8.646
7,Checkpoint_7,False,False,0.000,59.740,14.253
8,Checkpoint_8,False,False,0.000,60.700,14.964
9,Checkpoint_9,False,False,0.000,62.020,14.886
10,Checkpoint_10,False,False,0.000,63.860,12.086
11,Checkpoint_11,False,False,0.000,64.820,11.615
12,Checkpoint_12,False,False,0.000,65.620,14.560
13,Checkpoint_13,False,False,0.000,66.360,14.940
14,Checkpoint_14,False,False,0.000,67.700,9.687
