Timestamp,PositionX,PositionY,PositionZ,Speed,PathDeviation
2.520,-0.403,0.608,249.902,14.964,2.684
2.540,-0.403,0.608,250.199,14.993,2.531
2.560,-0.403,0.608,250.496,15.000,2.405
2.580,-0.403,0.608,250.794,15.000,2.310
2.600,-0.404,0.608,251.092,15.000,2.252
2.620,-0.404,0.608,251.390,15.000,2.231
2.640,-0.404,0.608,251.687,15.000,2.250
2.660,-0.404,0.608,251.985,15.000,2.308
2.680,-0.404,0.608,252.283,15.000,2.402
2.700,-0.404,0.608,252.580,15.000,2.527
2.720,-0.404,0.608,252.878,15.000,2.680
2.740,-0.404,0.608,253.176,15.000,2.855
2.760,-0.404,0.608,253.474,15.000,3.050
2.780,-0.404,0.608,253.771,15.000,3.260
2.800,-0.404,0.608,254.069,15.000,3.483
2.820,-0.404,0.608,254.367,15.000,3.717
2.840,-0.404,0.608,254.664,15.000,3.959
2.860,-0.404,0.608,254.962,15.000,4.208
2.880,-0.404,0.608,255.260,15.000,4.464
2.900,-0.404,0.608,255.558,15.000,4.724
2.920,-0.404,0.608,255.855,15.000,4.988
2.940,-0.405,0.608,256.153,15.000,5.256
2.960,-0.405,0.608,256.451,15.000,5.427
2.980,-0.405,0.608,256.749,15.000,5.157
3.000,-0.405,0.608,257.046,15.000,4.890
3.020,-0.405,0.608,257.344,15.000,4.627
3.040,-0.405,0.608,257.642,15.000,4.369
3.060,-0.405,0.608,257.939,15.000,4.116
3.080,-0.405,0.608,258.237,15.000,3.870
3.100,-0.405,0.608,258.535,15.000,3.631
3.120,-0.405,0.608,258.833,15.000,3.401
3.140,-0.405,0.608,259.130,15.000,3.183
3.160,-0.405,0.608,259.428,15.000,2.979
3.180,-0.405,0.608,259.726,15.000,2.791
3.200,-0.405,0.608,260.024,15.000,2.624
3.220,-0.405,0.608,260.321,15.000,2.481
3.240,-0.406,0.608,260.619,15.000,2.368
3.260,-0.406,0.608,260.917,15.000,2.287
3.280,-0.406,0.608,261.214,15.000,2.244
3.300,-0.406,0.608,261.512,15.000,2.240
3.320,-0.406,0.609,261.810,15.000,2.275
3.340,-0.406,0.609,262.108,15.000,2.348
3.360,-0.406,0.609,262.405,15.000,2.454
3.380,-0.407,0.610,262.703,15.000,2.592
3.400,-0.410,0.610,263.001,15.000,2.757
3.420,-0.416,0.610,263.298,15.000,2.944
3.440,-0.426,0.610,263.596,15.000,3.152
3.460,-0.440,0.610,263.893,15.000,3.376
3.480,-0.459,0.610,264.190,15.000,3.613
3.500,-0.485,0.610,264.486,15.000,3.862
3.520,-0.518,0.610,264.781,15.000,4.121
3.540,-0.559,0.610,265.076,15.000,4.388
3.560,-0.607,0.610,265.369,15.000,4.662
3.580,-0.664,0.610,265.660,14.998,4.941
3.600,-0.729,0.610,265.950,14.997,5.225
3.620,-0.800,0.610,266.239,15.000,5.512
3.640,-0.878,0.610,266.526,15.000,5.801
3.660,-0.960,0.610,266.811,15.000,6.093
3.680,-1.046,0.610,267.096,15.000,6.386
3.700,-1.135,0.610,267.380,15.000,6.679
3.720,-1.226,0.610,267.664,15.000,6.974
3.740,-1.317,0.610,267.947,15.000,7.269
3.760,-1.409,0.610,268.230,15.000,7.564
3.780,-1.500,0.610,268.514,15.000,7.859
3.800,-1.591,0.610,268.797,15.000,8.154
3.820,-1.683,0.610,269.080,15.000,8.450
3.840,-1.777,0.610,269.363,15.000,8.746
3.860,-1.873,0.610,269.644,15.000,9.042
3.880,-1.974,0.610,269.924,15.000,9.339
3.900,-2.080,0.610,270.202,15.000,9.636
3.920,-2.191,0.610,270.478,15.000,9.933
3.940,-2.313,0.610,270.749,15.000,10.230
3.960,-2.446,0.610,271.014,14.994,10.527
3.980,-2.589,0.610,271.274,14.985,10.823
4.000,-2.742,0.610,271.528,14.967,11.117
4.020,-2.905,0.610,271.776,14.954,11.410
4.040,-3.076,0.610,272.017,14.939,11.700
4.060,-3.257,0.610,272.250,14.926,11.988
4.080,-3.447,0.610,272.477,14.912,12.274
4.100,-3.644,0.611,272.696,14.899,12.557
4.120,-3.850,0.611,272.907,14.886,12.837
4.140,-4.063,0.611,273.110,14.873,13.114
4.160,-4.284,0.611,273.304,14.860,13.387
4.180,-4.512,0.611,273.490,14.848,13.657
4.200,-4.746,0.611,273.667,14.836,13.923
4.220,-4.987,0.611,273.835,14.823,14.186
4.240,-5.233,0.611,273.994,14.811,14.444
4.260,-5.485,0.611,274.144,14.799,14.606
4.280,-5.742,0.611,274.283,14.787,14.313
4.300,-6.004,0.611,274.413,14.776,14.021
4.320,-6.270,0.611,274.533,14.764,13.731
4.340,-6.541,0.611,274.644,14.753,13.441
4.360,-6.815,0.611,274.744,14.741,13.154
4.380,-7.092,0.611,274.833,14.730,12.870
4.400,-7.373,0.611,274.913,14.720,12.588
4.420,-7.655,0.611,274.982,14.709,12.311
4.440,-7.940,0.611,275.040,14.698,12.038
4.460,-8.227,0.611,275.088,14.688,11.769
4.480,-8.515,0.611,275.125,14.678,11.507
4.500,-8.804,0.611,275.152,14.668,11.251
4.520,-9.061,0.611,275.167,13.344,11.030
4.540,-9.288,0.610,275.300,13.324,10.768
4.560,-9.511,0.609,275.429,13.097,10.510
4.580,-9.733,0.608,275.556,12.948,10.256
4.600,-9.958,0.608,275.673,12.875,10.005
4.620,-10.183,0.607,275.786,12.769,9.756
4.640,-10.403,0.606,275.897,12.529,9.512
4.660,-10.628,0.606,275.999,12.558,9.269
4.680,-10.850,0.605,276.098,12.341,9.031
4.700,-11.069,0.605,276.196,12.193,8.796
4.720,-11.284,0.605,276.292,11.984,8.566
4.740,-11.506,0.606,276.376,12.066,8.338
4.760,-11.725,0.606,276.457,11.855,8.115
4.780,-11.939,0.606,276.540,11.657,7.895
4.800,-12.155,0.607,276.613,11.615,7.680
4.820,-12.370,0.607,276.684,11.514,7.468
4.840,-12.582,0.608,276.753,11.318,7.261
4.860,-12.789,0.608,276.824,11.177,7.057
4.880,-13.000,0.608,276.885,11.144,6.858
4.900,-13.210,0.608,276.941,11.097,6.663
4.920,-13.416,0.609,276.999,10.921,6.472
4.940,-13.621,0.609,277.056,10.839,6.284
4.960,-13.828,0.609,277.104,10.810,6.102
4.980,-14.036,0.609,277.147,10.834,5.926
5.000,-14.240,0.609,277.191,10.660,5.753
5.020,-14.443,0.609,277.237,10.612,5.582
5.040,-14.647,0.609,277.274,10.583,5.420
5.060,-14.854,0.609,277.304,10.685,5.265
5.080,-15.057,0.609,277.337,10.520,5.113
5.100,-15.260,0.609,277.371,10.527,4.965
5.120,-15.464,0.609,277.399,10.496,4.826
5.140,-15.671,0.609,277.421,10.631,4.695
5.160,-15.877,0.609,277.440,10.567,4.572
5.180,-16.083,0.609,277.462,10.589,4.453
5.200,-16.289,0.609,277.480,10.561,4.345
5.220,-16.499,0.609,277.494,10.726,4.246
5.240,-16.708,0.609,277.504,10.700,4.159
5.260,-16.921,0.609,277.511,10.869,4.083
5.280,-17.134,0.609,277.515,10.866,4.019
5.300,-17.350,0.609,277.517,11.034,3.968
5.320,-17.566,0.609,277.518,11.051,3.929
5.340,-17.718,0.609,277.517,9.873,3.910
5.360,-17.718,0.609,277.520,4.202,3.907
5.380,-17.725,0.609,277.600,3.952,3.827
5.400,-17.748,0.609,277.672,3.821,3.753
5.420,-17.775,0.609,277.739,3.703,3.683
5.440,-17.806,0.609,277.802,3.628,3.617
5.460,-17.842,0.609,277.861,3.595,3.555
5.480,-17.882,0.609,277.917,3.604,3.496
5.500,-17.927,0.609,277.969,3.650,3.440
5.520,-17.977,0.609,278.019,3.731,3.388
5.540,-18.032,0.609,278.065,3.843,3.340
5.560,-18.093,0.610,278.108,3.980,3.295
5.580,-18.159,0.610,278.148,4.138,3.254
5.600,-18.230,0.610,278.184,4.312,3.218
5.620,-18.307,0.611,278.216,4.479,3.189
5.640,-18.390,0.614,278.243,4.650,3.167
5.660,-18.478,0.618,278.265,4.846,3.153
5.680,-18.572,0.624,278.283,5.063,3.146
5.700,-18.671,0.630,278.296,5.293,3.147
5.720,-18.775,0.637,278.306,5.491,3.156
5.740,-18.886,0.645,278.313,5.849,3.173
5.760,-18.996,0.655,278.317,5.780,3.196
5.780,-19.116,0.674,278.319,6.211,3.228
5.800,-19.236,0.699,278.321,6.220,3.264
5.820,-19.360,0.725,278.321,6.403,3.306
5.840,-19.489,0.751,278.320,6.631,3.356
5.860,-19.624,0.765,278.316,6.992,3.416
5.880,-19.759,0.770,278.312,7.012,3.479
5.900,-19.901,0.777,278.307,7.421,3.551
5.920,-20.045,0.784,278.303,7.522,3.627
5.940,-20.191,0.791,278.298,7.666,3.710
5.960,-20.337,0.814,278.295,7.805,3.794
5.980,-20.485,0.846,278.290,8.024,3.885
6.000,-20.636,0.879,278.285,8.097,3.981
6.020,-20.791,0.912,278.279,8.325,4.084
6.040,-20.955,0.923,278.272,8.515,4.196
6.060,-21.123,0.922,278.266,8.613,4.314
6.080,-21.294,0.917,278.259,8.573,4.438
6.100,-21.464,0.904,278.253,8.551,4.564
6.120,-21.633,0.884,278.246,8.547,4.692
6.140,-21.801,0.855,278.240,8.560,4.822
6.160,-21.968,0.820,278.233,8.591,4.954
