Metric,Value
Agent Type,Manual_Player
Completion Time (s),87.262
Collision Count,0
Distance Traveled (m),1148.907
Average Speed (m/s),13.18809
Maximum Speed (m/s),14.97561
Minimum Speed (m/s),0.00281
Speed Standard Deviation,2.658935
Speed Consistency,0.7983837
Average Steering Angle (deg),13.1321000
Maximum Steering Angle (deg),45.00000
Steering Smoothness,0.9270439
Average Acceleration (m/s²),15.6292
Maximum Acceleration (m/s²),435.268
Average Path Deviation (m),0.000
Maximum Path Deviation (m),0.000
