Time,PosX,PosY,PosZ,VelX,VelY,VelZ,Speed,SteeringAngle,Acceleration,PathDeviation,Phase,CheckpointID
0.100,3.631,0.623,230.964,-0.236,-0.578,1.277,1.421,45.000,18.929,0.000,driving,-1
0.220,3.569,0.599,231.211,-0.726,-0.002,3.184,3.266,0.000,15.375,0.000,driving,-1
0.340,3.505,0.607,231.678,-0.413,0.072,4.964,4.981,0.000,14.440,0.000,driving,-1
0.460,3.464,0.614,232.349,-0.346,0.006,6.525,6.534,0.000,5.252,0.000,driving,-1
0.580,3.422,0.612,233.203,-0.367,-0.014,7.950,7.958,0.000,6.123,0.000,driving,-1
0.700,3.376,0.611,234.220,-0.408,-0.001,9.226,9.235,0.000,6.161,0.000,driving,-1
0.820,3.325,0.611,235.378,-0.452,0.001,10.340,10.350,0.000,6.846,0.000,driving,-1
0.940,3.269,0.611,236.659,-0.492,0.000,11.291,11.301,0.000,7.021,0.000,driving,-1
1.060,3.209,0.611,238.044,-0.526,-0.001,12.086,12.098,0.000,6.071,0.000,driving,-1
1.180,3.145,0.611,239.517,-0.554,-0.001,12.753,12.765,0.000,5.126,0.000,driving,-1
1.300,3.078,0.611,241.064,-0.578,-0.001,13.307,13.320,0.000,4.269,0.000,driving,-1
1.420,3.008,0.611,242.672,-0.598,-0.001,13.766,13.779,0.000,3.528,0.000,driving,-1
1.540,2.936,0.611,244.331,-0.615,-0.001,14.144,14.158,0.000,2.900,0.000,driving,-1
1.660,2.862,0.611,246.031,-0.628,-0.001,14.454,14.468,0.000,2.375,0.000,driving,-1
1.780,2.786,0.611,247.765,-0.639,-0.001,14.708,14.722,0.000,1.938,0.000,driving,-1
1.900,2.710,0.611,249.527,-0.648,-0.001,14.914,14.928,0.000,1.578,0.000,driving,-1
2.020,2.632,0.611,251.309,-0.652,-0.001,14.986,15.000,0.000,0.001,0.000,driving,-1
2.140,2.555,0.610,253.094,-0.652,-0.001,14.986,15.000,0.000,0.001,0.000,driving,-1
2.260,2.477,0.610,254.878,-0.652,-0.001,14.986,15.000,0.000,0.001,0.000,driving,-1
2.380,2.400,0.610,256.663,-0.652,-0.001,14.986,15.000,0.000,0.001,0.000,driving,-1
2.500,2.322,0.612,258.448,-0.651,0.042,14.986,15.000,0.000,0.509,0.000,driving,-1
2.620,2.243,0.616,260.232,-0.647,0.014,14.986,15.000,0.000,0.718,0.000,driving,-1
2.740,2.166,0.615,262.017,-0.647,-0.012,14.986,15.000,0.000,0.074,0.000,driving,-1
2.860,2.089,0.615,263.801,-0.649,-0.001,14.986,15.000,0.000,0.093,0.000,driving,-1
2.980,1.898,0.616,265.573,-3.477,0.024,14.588,14.997,45.000,30.469,0.000,driving,-1
3.100,1.452,0.615,267.297,-4.332,0.001,14.361,15.000,45.000,24.534,0.000,driving,-1
3.220,0.787,0.611,268.948,-6.551,-0.050,13.458,14.968,0.000,4.753,0.000,driving,-1
3.340,-0.011,0.609,270.542,-6.693,0.001,13.424,15.000,0.000,1.291,0.000,driving,-1
3.460,-0.860,0.610,272.112,-8.534,0.006,12.336,15.000,45.000,30.001,0.000,driving,-1
3.580,-1.943,0.610,273.525,-9.319,-0.001,11.754,15.000,0.000,1.645,0.000,driving,1
3.700,-3.043,0.610,274.932,-9.198,0.000,11.849,15.000,0.000,0.961,0.000,driving,1
3.820,-4.142,0.610,276.340,-9.946,-0.001,11.228,15.000,45.000,26.458,0.000,driving,-1
3.940,-5.452,0.610,277.541,-12.258,0.008,8.570,14.956,45.000,29.065,0.000,driving,-1
4.060,-6.969,0.610,278.455,-12.994,-0.004,7.329,14.918,0.000,3.260,0.000,driving,-1
4.180,-8.515,0.610,279.343,-12.965,-0.001,7.544,15.000,0.000,1.625,0.000,driving,-1
4.300,-10.129,0.610,280.094,-14.133,0.001,4.987,14.987,0.000,3.391,0.000,driving,-1
4.420,-11.822,0.610,280.652,-14.518,0.007,3.771,15.000,45.000,25.383,0.000,driving,-1
4.540,-13.576,0.610,280.951,-14.862,-0.002,1.802,14.971,0.000,5.110,0.000,driving,-1
4.660,-15.348,0.610,281.161,-14.888,-0.003,1.830,15.000,0.000,1.314,0.000,driving,-1
4.780,-17.120,0.610,281.388,-14.873,0.001,1.945,15.000,0.000,0.767,0.000,driving,-1
4.900,-18.861,0.621,281.621,-13.240,4.804,1.338,14.148,45.000,249.978,0.000,driving,-1
5.020,-20.454,1.162,281.639,-13.206,3.557,-0.383,13.682,0.000,21.132,0.000,driving,-1
5.140,-22.005,1.441,281.593,-12.737,1.118,-0.370,12.792,0.000,20.383,0.000,driving,-1
5.260,-23.502,1.433,281.549,-12.286,-1.234,-0.357,12.353,0.000,19.660,0.000,driving,-1
5.380,-24.945,1.149,281.507,-11.850,-3.502,-0.344,12.362,0.000,18.963,0.000,driving,-1
5.500,-26.176,0.807,281.450,-8.964,1.094,-0.855,9.071,45.000,15.941,0.000,driving,-1
5.620,-27.255,0.875,281.406,-9.584,0.840,0.344,9.627,45.000,14.166,0.000,driving,-1
5.740,-28.412,0.880,281.516,-9.701,-1.110,1.225,9.841,45.000,19.568,0.000,driving,-1
