Metric,Value
Agent Type,DRL_Agent
Completion Time (s),87.262
Collision Count,0
Distance Traveled (m),1167.210
Average Speed (m/s),13.52931
Maximum Speed (m/s),15.12025
Minimum Speed (m/s),1.42147
Speed Standard Deviation,2.178962
Speed Consistency,0.8389451
Average Steering Angle (deg),14.5460800
Maximum Steering Angle (deg),45.00000
Steering Smoothness,0.9191884
Average Acceleration (m/s²),17.7298
Maximum Acceleration (m/s²),328.157
Average Path Deviation (m),5.333
Maximum Path Deviation (m),15.947

Lap Data
Lap,StartTime,EndTime,LapTime,AvgSpeed,MaxSpeed,MinSpeed,AvgSteering,MaxSteering,AvgAccel,MaxAccel,PathDeviation,Collisions,Efficiency
1,0.000,44.060,44.060,13.520,15.120,1.421,13.243,45.000,16.572,322.789,1925.700,0,-2.271

Checkpoint Data
CheckpointID,SegmentName,IsStart,IsEnd,SegmentTime,Timestamp,Speed
1,Checkpoint_1,False,False,0.000,3.680,14.885
2,Checkpoint_2,False,False,0.000,7.240,14.366
3,Checkpoint_3,False,False,0.000,8.760,14.458
4,Checkpoint_4,False,False,0.000,10.700,14.881
5,Checkpoint_5,False,False,0.000,11.620,13.448
6,Checkpoint_6,False,False,0.000,15.060,8.917
7,Checkpoint_7,False,False,0.000,15.980,14.317
8,Checkpoint_8,False,False,0.000,16.940,14.965
9,Checkpoint_9,False,False,0.000,18.260,14.852
10,Checkpoint_10,False,False,0.000,20.120,12.114
11,Checkpoint_11,False,False,0.000,20.960,12.728
12,Checkpoint_12,False,False,0.000,21.640,14.893
13,Checkpoint_13,False,False,0.000,22.360,14.618
14,Checkpoint_14,False,False,0.000,23.680,9.148
15,Checkpoint_15,False,False,0.000,25.220,14.366
16,Checkpoint_16,False,False,0.000,26.500,14.815
17,Checkpoint_17,False,False,0.000,28.060,14.886
18,Checkpoint_18,False,False,0.000,29.340,14.793
19,Checkpoint_19,False,False,0.000,30.780,14.885
20,Checkpoint_20,False,False,0.000,32.180,14.890
21,Checkpoint_21,False,False,0.000,33.500,12.181
22,Checkpoint_22,False,False,0.000,35.720,12.240
23,Checkpoint_23,False,False,0.000,37.060,14.742
24,Checkpoint_24,False,False,0.000,38.180,14.841
25,Checkpoint_25,False,False,0.000,39.480,12.728
26,Checkpoint_26,False,False,0.000,41.100,14.029
27,Checkpoint_27,False,False,0.000,41.960,14.886
0,Checkpoint_0,True,True,0.000,44.060,14.883
1,Checkpoint_1,False,False,0.000,46.860,14.793
2,Checkpoint_2,False,False,0.000,50.380,14.579
3,Checkpoint_3,False,False,0.000,51.820,14.880
4,Checkpoint_4,False,False,0.000,53.760,14.882
5,Checkpoint_5,False,False,0.000,54.740,11.944
6,Checkpoint_6,False,False,0.000,58.500,9.115
7,Checkpoint_7,False,False,0.000,59.440,14.151
8,Checkpoint_8,False,False,0.000,60.400,14.841
9,Checkpoint_9,False,False,0.000,61.720,14.877
10,Checkpoint_10,False,False,0.000,63.680,10.121
11,Checkpoint_11,False,False,0.000,64.580,11.862
12,Checkpoint_12,False,False,0.000,65.320,14.820
13,Checkpoint_13,False,False,0.000,66.060,14.708
14,Checkpoint_14,False,False,0.000,67.400,9.518
15,Checkpoint_15,False,False,0.000,68.980,12.301
16,Checkpoint_16,False,False,0.000,70.300,14.883
17,Checkpoint_17,False,False,0.000,71.880,14.845
18,Checkpoint_18,False,False,0.000,73.160,14.697
19,Checkpoint_19,False,False,0.000,74.660,14.883
20,Checkpoint_20,False,False,0.000,76.060,14.857
21,Checkpoint_21,False,False,0.000,77.400,12.380
22,Checkpoint_22,False,False,0.000,79.560,11.923
23,Checkpoint_23,False,False,0.000,80.900,14.755
24,Checkpoint_24,False,False,0.000,82.040,14.863
25,Checkpoint_25,False,False,0.000,83.320,12.822
26,Checkpoint_26,False,False,0.000,84.920,14.031
27,Checkpoint_27,False,False,0.000,85.820,14.629
