Metric,Value
Agent Type,Manual_Player
Completion Time (s),89.537
Collision Count,0
Distance Traveled (m),1164.105
Average Speed (m/s),13.04640
Maximum Speed (m/s),15.04203
Minimum Speed (m/s),0.00808
Speed Standard Deviation,2.808782
Speed Consistency,0.7847083
Average Steering Angle (deg),14.2881600
Maximum Steering Angle (deg),45.00000
Steering Smoothness,0.9206213
Average Acceleration (m/s²),15.3958
Maximum Acceleration (m/s²),414.901
Average Path Deviation (m),0.000
Maximum Path Deviation (m),0.000
