Metric,Value
Agent Type,Manual_Player
Completion Time (s),47.396
Collision Count,0
Distance Traveled (m),627.623
Average Speed (m/s),13.41437
Maximum Speed (m/s),15.00000
Minimum Speed (m/s),0.00376
Speed Standard Deviation,2.574875
Speed Consistency,0.8080510
Average Steering Angle (deg),0.0000000
Maximum Steering Angle (deg),0.00000
Steering Smoothness,1.0000000
Average Acceleration (m/s²),17.6347
Maximum Acceleration (m/s²),374.280
Average Path Deviation (m),5.180
Maximum Path Deviation (m),14.965
