Metric,Value
Agent Type,Manual_Player
Completion Time (s),68.769
Collision Count,2
Distance Traveled (m),841.942
Average Speed (m/s),9.02933
Maximum Speed (m/s),15.00000
Minimum Speed (m/s),0.00002
Speed Standard Deviation,4.397210
Speed Consistency,0.5130082
Average Steering Angle (deg),14.8099100
Maximum Steering Angle (deg),45.00000
Steering Smoothness,0.9177227
Average Acceleration (m/s²),15.9617
Maximum Acceleration (m/s²),490.753
Average Path Deviation (m),5.481
Maximum Path Deviation (m),14.578
