Metric,Value
Agent Type,DRL_Agent
Completion Time (s),0.353
Collision Count,0
Distance Traveled (m),0.749
Average Speed (m/s),2.18286
Maximum Speed (m/s),3.25860
Minimum Speed (m/s),1.46695
Speed Standard Deviation,0.948474
Speed Consistency,0.5654910
Average Steering Angle (deg),15.0000000
Maximum Steering Angle (deg),45.00000
Steering Smoothness,0.9166667
Average Acceleration (m/s²),24.4186
Maximum Acceleration (m/s²),38.579
Average Path Deviation (m),0.000
Maximum Path Deviation (m),0.000
