Metric,Value
Agent Type,Manual_Player
Completion Time (s),47.241
Collision Count,0
Distance Traveled (m),616.016
Average Speed (m/s),13.21479
Maximum Speed (m/s),15.00000
Minimum Speed (m/s),0.00376
Speed Standard Deviation,3.006641
Speed Consistency,0.7724791
Average Steering Angle (deg),0.0000000
Maximum Steering Angle (deg),0.00000
Steering Smoothness,1.0000000
Average Acceleration (m/s²),16.8519
Maximum Acceleration (m/s²),479.936
Average Path Deviation (m),5.215
Maximum Path Deviation (m),14.642
