Metric,Value
Agent Type,DRL_Agent
Completion Time (s),0.353
Collision Count,0
Distance Traveled (m),0.809
Average Speed (m/s),3.22293
Maximum Speed (m/s),4.98117
Minimum Speed (m/s),1.42147
Speed Standard Deviation,1.780243
Speed Consistency,0.4476314
Average Steering Angle (deg),15.0000000
Maximum Steering Angle (deg),45.00000
Steering Smoothness,0.9166667
Average Acceleration (m/s²),16.2480
Maximum Acceleration (m/s²),18.929
Average Path Deviation (m),1.775
Maximum Path Deviation (m),1.861
