Metric,Value
Agent Type,Manual_Player
Completion Time (s),29.937
Collision Count,0
Distance Traveled (m),290.001
Average Speed (m/s),2.33206
Maximum Speed (m/s),14.55814
Minimum Speed (m/s),0.00000
Speed Standard Deviation,4.449021
Speed Consistency,-0.9077654
Average Steering Angle (deg),2.4418140
Maximum Steering Angle (deg),45.00000
Steering Smoothness,0.9864343
Average Acceleration (m/s²),4.0947
Maximum Acceleration (m/s²),38.963
Average Path Deviation (m),4.609
Maximum Path Deviation (m),14.272
