Metric,Value
Agent Type,Manual_Player
Completion Time (s),106.972
Collision Count,0
Distance Traveled (m),327.782
Average Speed (m/s),0.00000
Maximum Speed (m/s),0.00000
Minimum Speed (m/s),0.00000
Speed Standard Deviation,0.000000
Speed Consistency,0.0000000
Average Steering Angle (deg),4.3442590
Maximum Steering Angle (deg),45.00000
Steering Smoothness,0.9758652
Average Acceleration (m/s²),0.0000
Maximum Acceleration (m/s²),0.000
Average Path Deviation (m),3.873
Maximum Path Deviation (m),9.843
