Metric,Value
Agent Type,Manual_Player
Completion Time (s),166.361
Collision Count,1
Distance Traveled (m),342.927
Average Speed (m/s),0.69963
Maximum Speed (m/s),15.00000
Minimum Speed (m/s),0.00000
Speed Standard Deviation,2.559049
Speed Consistency,-2.6577090
Average Steering Angle (deg),1.5407120
Maximum Steering Angle (deg),45.00000
Steering Smoothness,0.9914405
Average Acceleration (m/s²),1.4442
Maximum Acceleration (m/s²),392.181
Average Path Deviation (m),6.851
Maximum Path Deviation (m),9.087
