Metric,Value
Agent Type,Manual_Player
Completion Time (s),45.674
Collision Count,0
Distance Traveled (m),823.553
Average Speed (m/s),13.01871
Maximum Speed (m/s),14.89600
Minimum Speed (m/s),0.00826
Speed Standard Deviation,2.660062
Speed Consistency,0.7956740
Average Steering Angle (deg),14.0377200
Maximum Steering Angle (deg),45.00000
Steering Smoothness,0.9220127
Average Acceleration (m/s²),17.8215
Maximum Acceleration (m/s²),296.622
Average Path Deviation (m),5.296
Maximum Path Deviation (m),14.965
