Metric,Value
Agent Type,Manual_Player
Completion Time (s),44.938
Collision Count,0
Distance Traveled (m),307.435
Average Speed (m/s),1.88053
Maximum Speed (m/s),13.79570
Minimum Speed (m/s),0.00000
Speed Standard Deviation,3.287300
Speed Consistency,-0.7480690
Average Steering Angle (deg),3.2849090
Maximum Steering Angle (deg),45.00000
Steering Smoothness,0.9817505
Average Acceleration (m/s²),4.2496
Maximum Acceleration (m/s²),47.087
Average Path Deviation (m),3.224
Maximum Path Deviation (m),6.258
