Metric,Value
Agent Type,DRL_Agent
Completion Time (s),45.674
Collision Count,0
Distance Traveled (m),610.760
Average Speed (m/s),13.54823
Maximum Speed (m/s),15.08254
Minimum Speed (m/s),1.42147
Speed Standard Deviation,2.223443
Speed Consistency,0.8358869
Average Steering Angle (deg),14.6842100
Maximum Steering Angle (deg),45.00000
Steering Smoothness,0.9184210
Average Acceleration (m/s²),16.1009
Maximum Acceleration (m/s²),326.030
Average Path Deviation (m),5.180
Maximum Path Deviation (m),15.793

Lap Data
Lap,StartTime,EndTime,LapTime,AvgSpeed,MaxSpeed,MinSpeed,AvgSteering,MaxSteering,AvgAccel,MaxAccel,PathDeviation,Collisions,Efficiency
1,0.000,44.320,44.320,13.505,15.083,1.421,15.122,45.000,16.571,326.030,1940.852,0,-2.285

Checkpoint Data
CheckpointID,SegmentName,IsStart,IsEnd,SegmentTime,Timestamp,Speed
1,Checkpoint_1,False,False,0.000,3.680,14.885
2,Checkpoint_2,False,False,0.000,7.240,14.366
3,Checkpoint_3,False,False,0.000,8.760,14.458
4,Checkpoint_4,False,False,0.000,10.700,14.881
5,Checkpoint_5,False,False,0.000,11.620,13.448
6,Checkpoint_6,False,False,0.000,15.060,8.907
7,Checkpoint_7,False,False,0.000,15.980,14.278
8,Checkpoint_8,False,False,0.000,16.940,14.808
9,Checkpoint_9,False,False,0.000,18.260,14.886
10,Checkpoint_10,False,False,0.000,20.180,11.784
11,Checkpoint_11,False,False,0.000,21.040,12.738
12,Checkpoint_12,False,False,0.000,21.740,14.929
13,Checkpoint_13,False,False,0.000,22.480,14.939
14,Checkpoint_14,False,False,0.000,23.800,9.121
15,Checkpoint_15,False,False,0.000,25.360,14.393
16,Checkpoint_16,False,False,0.000,26.640,14.797
17,Checkpoint_17,False,False,0.000,28.160,14.886
18,Checkpoint_18,False,False,0.000,29.460,14.779
19,Checkpoint_19,False,False,0.000,30.920,14.787
20,Checkpoint_20,False,False,0.000,32.320,14.814
21,Checkpoint_21,False,False,0.000,33.680,12.210
22,Checkpoint_22,False,False,0.000,36.020,11.807
23,Checkpoint_23,False,False,0.000,37.380,14.651
24,Checkpoint_24,False,False,0.000,38.540,14.722
25,Checkpoint_25,False,False,0.000,39.840,12.672
26,Checkpoint_26,False,False,0.000,41.380,13.954
27,Checkpoint_27,False,False,0.000,42.260,14.852
0,Checkpoint_0,True,True,0.000,44.320,14.886
