Metric,Value
Agent Type,Manual_Player
Completion Time (s),60.595
Collision Count,0
Distance Traveled (m),268.969
Average Speed (m/s),0.69605
Maximum Speed (m/s),13.23204
Minimum Speed (m/s),0.00000
Speed Standard Deviation,2.299046
Speed Consistency,-2.3030090
Average Steering Angle (deg),0.3241424
Maximum Steering Angle (deg),25.65426
Steering Smoothness,0.9981992
Average Acceleration (m/s²),1.4060
Maximum Acceleration (m/s²),44.352
Average Path Deviation (m),1.728
Maximum Path Deviation (m),4.942
