Metric,Value
Agent Type,Manual_Player
Completion Time (s),14.928
Collision Count,0
Distance Traveled (m),276.754
Average Speed (m/s),5.51433
Maximum Speed (m/s),17.54376
Minimum Speed (m/s),0.00000
Speed Standard Deviation,5.983659
Speed Consistency,-0.0851100
Average Steering Angle (deg),3.9965270
Maximum Steering Angle (deg),38.91560
Steering Smoothness,0.9777971
Average Acceleration (m/s²),11.6553
Maximum Acceleration (m/s²),53.848
Average Path Deviation (m),4.898
Maximum Path Deviation (m),10.430
