Metric,Value
Agent Type,Manual_Player
Completion Time (s),93.098
Collision Count,0
Distance Traveled (m),1443.004
Average Speed (m/s),13.04819
Maximum Speed (m/s),14.98480
Minimum Speed (m/s),0.00826
Speed Standard Deviation,2.492885
Speed Consistency,0.8089477
Average Steering Angle (deg),14.3140600
Maximum Steering Angle (deg),45.00000
Steering Smoothness,0.9204774
Average Acceleration (m/s²),17.2204
Maximum Acceleration (m/s²),414.157
Average Path Deviation (m),5.232
Maximum Path Deviation (m),14.710
