Metric,Value
Agent Type,Manual_Player
Completion Time (s),79.131
Collision Count,0
Distance Traveled (m),311.319
Average Speed (m/s),1.09505
Maximum Speed (m/s),15.00000
Minimum Speed (m/s),0.00000
Speed Standard Deviation,2.891909
Speed Consistency,-1.6408850
Average Steering Angle (deg),0.1686010
Maximum Steering Angle (deg),24.81200
Steering Smoothness,0.9990633
Average Acceleration (m/s²),1.8911
Maximum Acceleration (m/s²),46.889
Average Path Deviation (m),4.934
Maximum Path Deviation (m),5.334
