Metric,Value
Agent Type,Manual_Player
Completion Time (s),16.545
Collision Count,0
Distance Traveled (m),286.358
Average Speed (m/s),3.35594
Maximum Speed (m/s),11.96943
Minimum Speed (m/s),0.00000
Speed Standard Deviation,3.622318
Speed Consistency,-0.0793755
Average Steering Angle (deg),3.5330660
Maximum Steering Angle (deg),44.38890
Steering Smoothness,0.9803718
Average Acceleration (m/s²),6.7585
Maximum Acceleration (m/s²),38.749
Average Path Deviation (m),2.901
Maximum Path Deviation (m),5.783
