Time,PosX,PosY,PosZ,VelX,VelY,VelZ,Speed,SteeringAngle,Acceleration,PathDeviation,Phase,CheckpointID
0.100,-0.410,0.620,230.962,-0.213,-0.618,0.908,1.118,45.000,19.073,2.272,driving,-1
0.220,-0.495,0.594,231.199,-1.118,-0.004,2.704,2.926,45.000,16.654,2.324,driving,-1
0.340,-0.718,0.603,231.616,-2.457,0.078,3.947,4.650,45.000,14.954,2.549,driving,-1
0.460,-1.125,0.610,232.137,-4.072,0.003,4.504,6.072,45.000,10.127,3.038,driving,-1
0.580,-1.739,0.607,232.689,-5.768,-0.022,4.610,7.384,33.895,10.451,3.788,driving,-1
0.700,-1.956,0.593,233.094,0.418,-0.232,2.373,2.420,24.601,13.489,4.141,driving,-1
0.820,-1.951,0.589,233.306,0.004,0.042,1.357,1.357,7.995,7.844,4.228,driving,-1
0.940,-1.958,0.595,233.403,-0.061,0.048,0.413,0.421,0.000,7.908,4.279,driving,-1
1.060,-1.958,0.597,233.420,-0.017,0.011,0.132,0.134,0.000,0.890,4.287,driving,-1
1.180,-1.958,0.598,233.432,0.016,-0.002,0.080,0.082,0.959,2.940,4.293,driving,-1
1.300,-1.956,0.598,233.442,0.015,0.000,0.078,0.079,17.001,0.122,4.296,driving,-1
1.420,-1.954,0.599,233.455,-0.024,0.049,0.154,0.163,33.079,3.000,4.301,driving,-1
1.540,-1.947,0.606,233.477,-0.022,0.016,0.142,0.144,45.000,1.587,4.305,driving,-1
1.660,-1.949,0.601,233.495,-0.021,-0.050,0.150,0.160,45.000,0.149,4.316,driving,-1
1.780,-1.942,0.604,233.501,0.082,0.085,0.017,0.120,45.000,0.271,4.312,driving,-1
1.900,-1.893,0.608,233.467,0.727,-0.009,-0.496,0.880,34.261,8.432,4.253,driving,-1
2.020,-1.744,0.606,233.393,1.567,-0.018,-0.625,1.687,9.228,6.844,4.087,driving,-1
2.140,-1.501,0.605,233.309,2.332,0.003,-0.790,2.462,26.504,6.398,3.834,driving,-1
2.260,-1.174,0.606,233.193,2.985,0.006,-1.128,3.191,41.144,6.045,3.494,driving,-1
2.380,-0.837,0.606,233.047,2.049,0.004,-0.930,2.250,3.186,37.596,3.130,driving,-1
2.500,-0.832,0.606,233.071,-0.799,-0.002,0.870,1.181,18.564,17.122,3.138,driving,-1
2.620,-1.004,0.606,233.293,-1.779,-0.002,2.590,3.142,34.357,16.252,3.403,driving,-1
