Metric,Value
Agent Type,Manual_Player
Completion Time (s),63.945
Collision Count,1
Distance Traveled (m),321.810
Average Speed (m/s),1.58119
Maximum Speed (m/s),13.63792
Minimum Speed (m/s),0.00000
Speed Standard Deviation,3.081294
Speed Consistency,-0.9487135
Average Steering Angle (deg),2.1505050
Maximum Steering Angle (deg),45.00000
Steering Smoothness,0.9880527
Average Acceleration (m/s²),2.9243
Maximum Acceleration (m/s²),39.548
Average Path Deviation (m),3.004
Maximum Path Deviation (m),5.560
