Metric,Value
Agent Type,Manual_Player
Completion Time (s),7.362
Collision Count,0
Distance Traveled (m),272.027
Average Speed (m/s),5.62228
Maximum Speed (m/s),13.27693
Minimum Speed (m/s),0.00824
Speed Standard Deviation,3.646152
Speed Consistency,0.3514821
Average Steering Angle (deg),3.7909150
Maximum Steering Angle (deg),27.07056
Steering Smoothness,0.9789394
Average Acceleration (m/s²),9.4239
Maximum Acceleration (m/s²),38.636
Average Path Deviation (m),3.135
Maximum Path Deviation (m),5.366
