Metric,Value
Agent Type,Manual_Player
Completion Time (s),127.444
Collision Count,0
Distance Traveled (m),279.396
Average Speed (m/s),0.42632
Maximum Speed (m/s),12.90053
Minimum Speed (m/s),0.00000
Speed Standard Deviation,1.539277
Speed Consistency,-2.6106280
Average Steering Angle (deg),2.1982250
Maximum Steering Angle (deg),45.00000
Steering Smoothness,0.9877877
Average Acceleration (m/s²),2.4418
Maximum Acceleration (m/s²),40.081
Average Path Deviation (m),2.997
Maximum Path Deviation (m),6.217
