Metric,Value
Agent Type,Manual_Player
Completion Time (s),12.963
Collision Count,0
Distance Traveled (m),231.039
Average Speed (m/s),0.00852
Maximum Speed (m/s),0.61759
Minimum Speed (m/s),0.00000
Speed Standard Deviation,0.067402
Speed Consistency,-6.9084720
Average Steering Angle (deg),0.0000000
Maximum Steering Angle (deg),0.00000
Steering Smoothness,1.0000000
Average Acceleration (m/s²),0.1220
Maximum Acceleration (m/s²),6.421
Average Path Deviation (m),2.269
Maximum Path Deviation (m),2.269
