Metric,Value
Agent Type,DRL_Agent
Completion Time (s),16.545
Collision Count,0
Distance Traveled (m),215.164
Average Speed (m/s),13.19718
Maximum Speed (m/s),15.00000
Minimum Speed (m/s),1.42147
Speed Standard Deviation,2.570154
Speed Consistency,0.8052497
Average Steering Angle (deg),12.7173900
Maximum Steering Angle (deg),45.00000
Steering Smoothness,0.9293478
Average Acceleration (m/s²),15.3768
Maximum Acceleration (m/s²),322.896
Average Path Deviation (m),4.480
Maximum Path Deviation (m),15.688

Checkpoint Data
CheckpointID,SegmentName,IsStart,IsEnd,SegmentTime,Timestamp,Speed
1,Checkpoint_1,False,False,0.000,3.680,14.885
2,Checkpoint_2,False,False,0.000,7.240,14.366
3,Checkpoint_3,False,False,0.000,8.760,14.458
4,Checkpoint_4,False,False,0.000,10.700,14.881
5,Checkpoint_5,False,False,0.000,11.620,13.447
6,Checkpoint_6,False,False,0.000,15.100,8.519
7,Checkpoint_7,False,False,0.000,16.040,14.047
