Metric,Value
Agent Type,Manual_Player
Completion Time (s),53.085
Collision Count,0
Distance Traveled (m),301.616
Average Speed (m/s),1.33113
Maximum Speed (m/s),14.72486
Minimum Speed (m/s),0.00000
Speed Standard Deviation,3.312893
Speed Consistency,-1.4887870
Average Steering Angle (deg),2.2444150
Maximum Steering Angle (deg),45.00000
Steering Smoothness,0.9875310
Average Acceleration (m/s²),2.7425
Maximum Acceleration (m/s²),39.877
Average Path Deviation (m),4.216
Maximum Path Deviation (m),14.475
