Metric,Value
Agent Type,Manual_Player
Completion Time (s),69.963
Collision Count,0
Distance Traveled (m),264.455
Average Speed (m/s),0.84998
Maximum Speed (m/s),9.71852
Minimum Speed (m/s),0.00000
Speed Standard Deviation,2.266203
Speed Consistency,-1.6661850
Average Steering Angle (deg),0.0000000
Maximum Steering Angle (deg),0.00000
Steering Smoothness,1.0000000
Average Acceleration (m/s²),1.5896
Maximum Acceleration (m/s²),39.041
Average Path Deviation (m),2.905
Maximum Path Deviation (m),5.388
